i,j,distance_cosine,distance_euclidean
36,51,0.4639337727188634,6.618724748769689
36,52,0.12832349594898618,3.3828481241086563
36,53,0.34381795699913154,5.637315121508413
36,54,0.41201543878979086,6.2781338521823
36,55,0.3849288759679018,6.096532487879166
36,56,0.36533992849783725,5.922632036635881
36,57,0.23294384600721707,4.555488272809273
36,58,0.3924574647190546,6.186274234433055
36,59,0.49211254247949576,6.966478364349603
37,1,0.41124680359492216,6.36109512714738
37,2,0.08636379040139597,3.0007837695602295
37,3,0.09679433227136058,3.183346400892798
37,4,0.1834974852137622,4.291555020278262
37,5,0.15318702061242828,3.940853725232978
37,6,0.1384498346687668,3.7765437731991502
37,7,0.44401373574925174,6.63085570103048
37,8,0.11468915440833483,3.430630505729087
37,9,0.11681344263863147,3.4593539040634775
37,10,0.12771352561436033,3.6587476026593455
37,11,0.11198078201131656,3.4014109685134666
37,12,0.12108917823364374,3.5136708815553344
37,13,0.08921343059749787,3.069387247412081
37,14,0.4133382534797926,6.638390107067149
37,15,0.12814644281942567,3.6046213203272366
37,16,0.08876744547040605,3.0328481691383984
37,17,0.09931560894802616,3.190026275551088
37,18,0.15915706484178305,4.06966949449264
37,19,0.1384560386742596,3.7548711981630176
37,20,0.09062428229892283,3.0650579010028003
37,21,0.10165143861130654,3.2459665185390136
37,22,0.15026731199817156,3.883050725851238
37,23,0.10616732015407682,3.291329337737997
37,24,0.12569818946560785,3.6080540828628327
37,25,0.19649125020994018,4.433643033675213
37,26,0.10491004767042544,3.284540845901552
37,27,0.09582130196490135,3.1736545014993776
37,28,0.210500978402827,4.56973417880116
37,29,0.08898042258536099,3.0376315098140556
37,30,0.11381963140843854,3.4079775527464347
37,31,0.06139491981115297,2.528685906943484
37,32,0.1414175224489932,3.8308190487138685
37,33,0.447743033403331,6.708438010772976
37,34,0.0985275276031008,3.228361568984606
37,35,0.09657479622930065,3.148456649949217
37,36,0.39163229439438674,6.2107494966753
37,38,0.48561208761285957,6.982498990571071
37,39,0.10823607324366291,3.326199842725857
37,40,0.10649804817446906,3.317118723398019
37,41,0.21972012892605575,4.6728780062208575
37,42,0.09465473766205024,3.1358724628499046
37,43,0.5562171645607049,7.553536991988907
37,44,0.4778590266813927,6.868431598333168
37,45,0.5480011182762896,7.539203920653824
37,46,0.243235525282404,4.914134489791721
37,47,0.16366974567097636,4.060765340376387
37,48,0.12870425058454316,3.631964067036106
37,49,0.09979376734946199,3.2065847042912883
37,50,0.12291374736954797,3.5768708419994693
37,51,0.12722966144149184,3.636965022945535
37,52,0.3920380197496882,6.232021633936867
37,53,0.10893892794307314,3.346914817766858
37,54,0.1131618366166004,3.4447833208908722
37,55,0.1052604633476506,3.3326431043741405
37,56,0.08793908919108862,3.0404859870491174
37,57,0.13691115962255385,3.715657061809985
37,58,0.13617366663299746,3.8042963028867125
37,59,0.13859072198755362,3.858948031525612
38,1,0.08732431133137031,2.8204946067575345
38,2,0.39167100316143366,6.1564870128732485
38,3,0.44532524896376113,6.588816068055174
38,4,0.20699114995405177,4.360781365883629
38,5,0.4097776900548876,6.172794845835134
38,6,0.4194385231299007,6.3245676670555815
38,7,0.09740555866330902,2.988767592412391
38,8,0.4211179486794099,6.3044232051844915
38,9,0.4769354875391598,6.699528423859661
38,10,0.446152808799245,6.604206992506613
38,11,0.40654421445846456,6.232614701016199
38,12,0.3636731462065802,5.823888875575709
38,13,0.4649410254897468,6.7727604338857965
38,14,0.1924362496683697,4.398112166840449
38,15,0.38368265881789654,5.951560710078737
38,16,0.4725332816268446,6.723068227666491
38,17,0.4486495839782777,6.4761379949531515
38,18,0.3727802801558707,6.010634038636081
38,19,0.3498581462840331,5.718638465356787
38,20,0.39007636121237654,6.112861769361557
38,21,0.3522039628120015,5.813910463233884
38,22,0.2645506864454785,4.905420334811686
38,23,0.3887896762867603,6.004869199393088
38,24,0.46668902691548786,6.695518997516954
38,25,0.2969715123371156,5.214185082408823
38,26,0.44109707050263025,6.457752147499074
38,27,0.4452827526355333,6.607722075280542
38,28,0.13524234301941496,3.5016029403136075
38,29,0.3711736282095257,5.96392754273528
38,30,0.27458202674472976,5.058032442286473
38,31,0.3948346055189562,6.148843289426928
38,32,0.4753732151469108,6.7707699417323814
38,33,0.05324692191230829,2.228168235469087
38,34,0.45794597027329687,6.729819994087402
38,35,0.48025198089436316,6.711541712472177
38,36,0.13970309673916648,3.565726325172314
38,37,0.48561208761285957,6.982498990571071
38,39,0.3695454359874195,5.872894172893275
38,40,0.43122844458191856,6.416235891547538
38,41,0.16227742187318628,3.8423260552410348
38,42,0.4449758204428832,6.544231607527158
38,43,0.060307159663357535,2.4057436964258
38,44,0.10180004476363147,3.0515938548463923
38,45,0.0726475774630827,2.661691886874017
38,46,0.1485971792335785,3.6795779267124895
38,47,0.47078627404190865,6.585148549440986
38,48,0.3163879331114925,5.466175320381994
38,49,0.45811178733448843,6.590003391699655
38,50,0.4795148411750043,6.812113317744097
38,51,0.5080223572451296,7.0061115014063615
38,52,0.08089019034107636,2.7231109527437565
38,53,0.4146153155966604,6.263996505658643
38,54,0.4540548643034745,6.663051047553747
38,55,0.4600947310908018,6.734723659666909
38,56,0.46354852108342126,6.741028826657891
38,57,0.2983983590855984,5.224106518021398
38,58,0.4914078932252183,6.991651255341466
38,59,0.540149211168155,7.374955419728928
39,1,0.30329646351082196,5.2541969305840315
39,2,0.052571658739666405,2.2684054419703275
39,3,0.06234350181779169,2.4818302279195485
39,4,0.1025745320276632,3.0737848488336894
39,5,0.07989797068048787,2.7282729381154947
39,6,0.08352996517391686,2.827789219462823
39,7,0.31029869613035643,5.336777413322695
39,8,0.08228672902814393,2.7900979677931272
39,9,0.09794646656301909,3.039165804943876
39,10,0.08734853987170277,2.9375352900636336
39,11,0.0687697009438164,2.5695863953024745
39,12,0.08100477473389467,2.7511067755240664
39,13,0.07192007049295657,2.6871990589681443
39,14,0.2743502621883155,5.246526537389762
39,15,0.10651050904539316,3.1393184867625963
39,16,0.09660738980323247,3.0460605116378163
39,17,0.07594092223521232,2.6668307516563297
39,18,0.10374606552970922,3.180515065707396
39,19,0.08118818806003236,2.757318670045132
39,20,0.06406173351242828,2.4844323875706595
39,21,0.05527359731137016,2.3113824078159992
39,22,0.08289471690586492,2.752772259822146
39,23,0.07763523072385747,2.686089032631615
39,24,0.09159607753228727,2.9738306960602605
39,25,0.13151706668749863,3.4747235631628612
39,26,0.061185119212575745,2.4085935694112877
39,27,0.09352941460284914,3.0447196738657074
39,28,0.13427891316404716,3.493065078761446
39,29,0.04487305816786169,2.0819357509875474
39,30,0.07440166847972352,2.63533275053543
39,31,0.06259180225265959,2.4553020397632435
39,32,0.08120681151560483,2.8079118951394264
39,33,0.3306745833861625,5.5576911671064
39,34,0.0981057737322576,3.135797763875115
39,35,0.07744369025641562,2.697728882602626
